,asin,helpful,rating,reviewText,reviewTime,reviewerID,reviewerName,unixReviewTime
2069,B004A8ZT9A,"[6, 6]",1,"The entire time I read this I just wanted to go ick...This book is presented pretty much as a Romance and I just don't like adultery in my Romance. Personally I did not like any of the characters and the ""good"" wife sure shucked her pantaloons quick for a guy with a pretty face and good manners. Perhaps if the author had given the romance portion time to develop slowly instead of the ""oops I couldn't control myself"", I might have been able to enjoy the story more.  Unfortunately, the author kept presenting the wife and lover as people of honour and the husband as a monster and while I believe she did the latter she failed miserably in the former. I also felt as if the ending was a cheat, I knew it was coming but I kept hoping that she would be a little more original.  I am not one of those people who expect the lovers to be virgins or even requiring the lovers to be limited to two of the opposite gender, however I do not like liars and sneaks and that is what this book is full of.","07 16, 2012",AU510CVD9XDG,"4Nbahu ""Free Book Hunter""",1342396800
7867,B004J4X0P0,"[8, 9]",1,A short (VERY SHORT) story.  Not worth the price.  I don't think it was sweet and actually found it offensive - it came across degrading and I have nothing against a m&eacute;nage!  I read one by Maya Banks which was fantastic and had high hopes for this one after reading the first two reviews.  Nope made me feel icky and gross and I deleted it off my kindle.  I recommend you read the sample - I wish I had!,"02 23, 2011",A3BWGMU891EI07,Nicole MacDonald,1298419200
8862,B0044UHW5I,"[5, 6]",1,"How in the world can Diana love Alma?? He is rude to her and then nice for 2 or 3 days then rude again then kisses her and then leaves. He goes to London while still thinking of her and sleeps with his mistress everyday and then when Diana comes to London, they argue and she meets his mistress. Alma still sleeps with his mistress while wanting Diana and only stops when he realizes another man might ask to marry Diana and he decides that he wants to marry her too. OMG... the most self centered, man whore I have ever read. You do not sleep around when you are supposed to have feelings for the heroine. I cannot stand it when authors do that, it makes me sad for the heroine that she has to be written to love a man like that. I would never have had feelings for him and if I did, I would never have married him on the sleeping around thing alone, like he couldn't give up sex for the woman he loves...good gosh!! I only liked the book for George and Alonna but once they got together 1/2 through the book, I was rushing for the end just to get it over with.","07 29, 2012",AVGYENZU56KBR,Amazon Customer,1343520000
559,B003RWS5Q4,"[0, 0]",1,Short story...not short enough.Sorry this was entirely too much unneeded description to keep my interest.  Had a good plot but maybe a short play.Shirley Ann,"02 23, 2013",A30J0XSBCCJAIV,Shirley Ann,1361577600
5425,B004D9FEPU,"[0, 0]",1,"Faricy's other books are for the most part entertaining, but this is just disgusting. I bought it based on his others and regret I spent my 99 cents.","01 26, 2013",A25F0JJMZSUXFT,"Amazon Customer ""CIS-Prof. Retired""",1359158400
8712,B004ELANTO,"[17, 25]",1,"I read Backstage Pass and Rock Hard form Olivia Cunning and got into the whole Rock Band mood. Unfortunately there are only two books so far of the Sinners series, so I started looking for more Rock Band books of the same caliber to read and found Rock Charisma. Browsing through the reviews and seeing that most gave it 5 stars, I decided to buy it. What a waste! Poor character development, poor story line, and poor writing. The Hero is a drop dead gorgeous, sarcastic, self centered loser. Did I mention that he is drop dead gorgeous? Yes, well maybe I should repeat that since it is repeated over and over in the book. He might be an ass, but he is gorgeous. He might now nothing about pleasing a woman, but remember, he is so gorgeous. Oh, and the strong heroine? Jeez, she's just plain pathetic. She could never stick to her decisions. If I could get a refund, I would!","05 2, 2011",ABBE403BTXSGO,Amazon Customer,1304294400
8903,B001W1XT6I,"[2, 2]",1,"I was disappointed to find, that the plug in charger that you sent me, cannot be used in Australia, as it is not compatible with our amps. So I have paid for something I cannot use. I recommend that anyone wanting the plug, source it from an Australian retailer. That way you will get the correct one. I still have to charge my Kindle on the computer. This can be inconvenient. I went away for a long weekend, and had to drag my computer along just so I could charge my Kindle.","02 7, 2013",A2J7RTVA90UYJQ,Cheryl Price,1360195200
10776,B0038AUZ4A,"[0, 1]",1,"I read until it just made no sense. Never felt a connection to any of the characters in this story. The story line is too fractured, the characters are grossly stupid, and I found nothing to like. The book was returned.","03 25, 2014",A20R37WRPLUM1D,Xanlthorpe,1395705600
2192,B002BDT64A,"[1, 2]",1,I was looking for a good zombie read. This is not it. The story started out great. But as soon as the story went into the zombies still having thoughts and knowing what they we're doing? I couldn't control my eye rolling. Do these authors understand the meaning of zombie? I couldn't enjoy this story at all. It's actually one of the worst zombie books I have read. Not to mention the editing. This is a revised version? I would have hated to see the before copy.,"10 26, 2013",AABXUSGGXUY1Q,"Nickinic - Ebooks Galore ""Authors please feel...",1382745600
5112,B003M5IP2A,"[0, 0]",1,"The reviews were good so I tagged the whole series - but after reading this one had to delete them all.It was too &#34;saw her, had her, shared her&#34; and oh, better squeeze in a quick danger story.It wasn't woody but had a forced quality to it.Sorry, the other books may get better but not going to tag this author as a favourite.","05 31, 2014",A3B2W0W6XO48O9,Mrs Woofy,1401494400
1024,B003UNLMV0,"[6, 8]",1,"Don't bother with this series.  I just read this one book but it told me all I needed to know...that I shouldn't read another.  Implausible situations, poor character development; there's too many good books out there to waste time on this series, I fear.  Sorry, Ms. Lambert.","02 25, 2011",A1KERU4S6WGDBO,Numa Junkie,1298592000
2484,B004FPYZNY,"[3, 6]",1,"This is more like a chapter than even a novella. There's no plot, no sex, no animals, ... I don't get it- it must be a ""preview"", though I don't remember seeing that in the description.  I wouldn't buy the book, either, if this is a preview.  It's a high school-drama book.","12 27, 2010",A15EL7I42ETNQX,Rain Levity,1293408000
7890,B003MAK5XC,"[0, 0]",1,"Was expecting a longer book.  It is only a fee pages, maybe a dozen.  Good story but too short and fast.  Left out time for real details","03 22, 2013",A47GGCEA6JMUD,Sandra Allen,1363910400
3915,B002UL3388,"[11, 15]",1,"I don't mind buying a book....but when one is offered free...it should clearly state that it's just a preview or lead in.  This was VERY frustrating and has put me off Pinter.  I've bought a few of his books...got one free....and thought I was going to read a prequel to buy another. I would have brought it, now I feel taken. Plus you CANT EVEN BUY THIS ONE.....it's a trick.","11 25, 2009",A1N5S11NU892G2,BookWormess,1259107200
4670,B003OYIA4C,"[7, 30]",1,"I had no idea this fell into the gay/lesbian genre, but even if I had I wouldn't have expected this book.  This book is an adolescent gay wetdream.  The protagonist serially rapes everyone who works for him and they supposedly love it.  His violent take on sex, his utter apartness from his hapless waiters and busboys and cooks, his overweening pride in his cookery, all created such an unattractive story that within a few pages I sent it back off into the ether from which it came.  Bad book, bad, bad book!  Down there, I say sir.  It reminds me of an unruly pet.","08 4, 2011",A30DEXAEVFJ72A,Judith Greenwood,1312416000
8417,B003NE5V72,"[3, 4]",1,"Lyla Sinclair is a terrific author.  I have always enjoyed her books immensely.  That being said, ""Training Emily"" was a huge disappointment.  The character Mark Kendall is an angry college professor whose wife left him five years ago.  Emily is his student who is failing his class and who has lusted after him for years.  The premise is good one but it falls far short of what it could have been.  Mark is a wannabe Dom and a cruel b*****d.  What really ticked me off is that Emily kept wondering if she had 'daddy issues'.  Gag me.  (no pun intended).  If this had been the first book I had ever read by this author I never would have picked up any more.  The price is not worth the time or effort that this reader put out.","11 13, 2011",ALX2I5BIHOFZT,Lorelei,1321142400
11611,B0030F2S70,"[3, 21]",1,"I exected something a little bitter. The first part was kind of enjoyable, but th second have was awful. The hero, Simon, flirted with the older woman, Cynthia, to keep her in a good mood. But, liked are heroine. If its a romance novel, than the hero should only pay attention to the heroine and not some bags of bones. The writer should just give up writting and never write another book, ever.","04 3, 2011",A36YYST2A8RFYJ,Neon,1301788800
8531,B0047GMIEY,"[1, 1]",1,"I hate to say it, but I thought this book was awful. Not worth the $.99 I paid for it. The stories were so short that it was hard to even think of them as stories. I think one of them was actually only two pages long. If you like the idea of zombie fairy tales, check out the Zombie Fairy Tales series by Kevin Richey. Those stories were way better.","02 3, 2013",A2JZBEGJX4YIDK,Cheryl,1359849600
7671,B003HS4VD4,"[3, 4]",1,"When this writer learns the difference between:there, their, and they're;your and you're;were and we're;...and a few others from every standard grammar book, I might not find this book actually PAINFUL to read.  Attempts at humor were funny at times.  It is just to hard translating mush into real English and takes away from the pure joy that this type of story should be.","06 28, 2011",AHJQJQMC9BG2H,"Karen G. Harrill ""kh-nc-quilter""",1309219200
7179,B004FPYZNY,"[0, 1]",1,"I was very disappointed in the prequel.  It wasn't nearly long enough to give me a good introduction to the story, however, what little I read was developing well into something I might enjoy.","01 6, 2011",A51S30GVG0HT2,Nan,1294272000
2216,B00342VHZS,"[4, 6]",1,"First let me say that I obtained this book when it was offered for free in January!  Thank heavens for small favors.  No, really.  I cannot speak to the plot because of the terrible formatting.  Irregular word spacing, odd word breaks make this more work than it is worth.  The story starts with a Prolouge and the formatting errors start right there on page 1.Now that the book is no longer free, I would be mighty miffed if I had to pay 4.99 and had to decipher each page.  Formatting can be done correctly, there should be no reason for this type of sloppy editing.  It detracts from the story and isn't that what you're paying for?  Save your money on the Kindle edition and if you like this type of genre, spring for the paperback.  The Kindle edition is a waste of time.","07 30, 2012",A1P6WIS93SIOPE,Reader4Life,1343606400
6454,B004HYHNV4,"[0, 0]",1,"I read this in less than an hour. I continued to read it only because I realized how short the story was. I kept hoping for something better. This is a short story - not a book. I wouldn't even call it a novella. It could have been a good story. However, there was not enough depth to the characters, too much telling and not enough showing, and the story line was a bit unbelievable. If the author had expanded on the characters and the story, it might have been a good book. At the end,I wondered why on earth I bothered to read it.","05 18, 2013",A1MYH7A68FIK4A,Joan H.,1368835200
9600,B002BDT64A,"[0, 0]",1,"Gore filled if that is what the reader wants but unbelievable zombies that think, are smart and snack on toddlers.","11 24, 2013",A19ZGAT6IMFY8L,"Blanca R. Merced ""ex anita fan""",1385251200
1357,B003CFBRGG,"[0, 1]",1,I went throughout this book and couldn't find one good story. They were boring and the sex was poorly described. I just couldn't care less. Don't bother reading it.,"04 27, 2013",A3CASOYAZMKAUY,Amber Patton,1367020800
8463,B004K1F8M0,"[1, 2]",1,Loved the book. Great mystery and love story. Would read other books by the same author. Read it yourself and know I speak the truth.,"12 12, 2012",A213SZRIVJFRQN,Kathleen hallkathleen hall,1355270400
10871,B003U4WB7I,"[1, 2]",1,"This was a great first chapter .... what happened to the rest of the book/story?  Sorry, but I felt that this was a preview  of something interesting to follow. Turned out to be a book report.","05 10, 2013",AFYJDV54RJJ81,Bill Flick,1368144000
10677,B001ET66ZE,"[0, 0]",1,This starts out with M/F and M/F/F scenes that are not mentioned in the description. The actual M/M section is so juvenile as to be unacceptable. It's difficult to accept that this author has had any kind of sex with any kind of person. I returned it.,"07 9, 2014",A20R37WRPLUM1D,Xanlthorpe,1404864000
11634,B004MMEGWA,"[0, 0]",1,"This first two stories were wonderful, a great story in both (particularly the fist!) the second story I got completely confused as to why she was rich among other things, there wasn't much in explanation. The last two were just horrible! The third story was a collection of erotic stories (four) that were just stupid and the last story...well I didn't know whether to laugh or cry from both the absurdity of it and the wording! It was just BAAAAAD!","09 25, 2013",A3MVKGNVN644UC,"Hellen ""Reading raven""",1380067200
1099,B003SE7K12,"[9, 14]",1,"Sorry, just didn't grab me at all. It had the right ingredients, just didn't come together in a way that I could enjoy it. And I tried. Three times. This will be only the third book I have deleted from my library.","05 13, 2011",A10QP4P3JJVT00,"TheOneTree ""Never give up! Never surrender!""",1305244800
6319,B002UUT28E,"[3, 3]",1,"I fear that most of this needs to stay lost - I love Heinlein from this era, and Asimov a bit less but too much of this material deserves being forgotten for a bit longer.","12 12, 2012",A2SU6OUJOKVMVV,Arthur T. Denzau,1355270400
9193,B001892DJS,"[0, 1]",1,"Time travel and pirates -  I thought I would like this book because they are two of my favourite themes in the romance genre, but alas I was wrong.I thought this was meant to be a romance book but all it was about was sex. Some of the scenes even made me cringe, such as the one with the candle and the paerls. Ick. Just porn, no romance, and not very good writing.","04 16, 2011",A2HX87JHRE6IOB,"meloco ""meloco""",1302912000
6301,B004AYDJM8,"[1, 2]",1,It was ok. Not enough erotica but had some passion. I'm glad it was free. Would be upset if I paid for it.,"06 29, 2013",A95UOC7JAZL2F,Synnfuly,1372464000
6566,B004JN0GCQ,"[3, 3]",1,"I could not for the life of me bring myself to finish this book. Carlee was the stupiedest character I have ever read about. I just could not get over her un willingness to understand that Trey didn't remember their shared past as she did. I don't know how many times the man has to tell you He Just Doesn't Remember! so stop pushing him and Stop trying to make him feel something he just doesn't! It didn't work the first time It wont work now!I could have maybe understood her pushiness and as far as I'm concerned Stupidness if Trey was acting like a total jerk and dismissing her as a crazy person, but he wasn't. He felt the conection between them and just wanted to take things from there but Carlee just could not stop bringing up the past.I gave upI had to or I would have thrown my Kindle against the wall in utter frustration.I have no idea if Marilyn Lee managed to make Carlee a likeable person later on in the book but as far as I am concerned if she did it was to little to late.There are other Marilyn Lee books out there that are worth reading. This one is not one of them","03 21, 2011",A23T5VUL3SCPS6,"Admete ""Admete""",1300665600
10746,B0033Y95G0,"[2, 4]",1,"I read the reviews and I decided not to buy the book. I felt compelled to purchase the book, against my better judgement, because it was the last book in the series. I was craving and hoping for a great ending to the series. I read Marly's choice, which is my favorite, then Sarah's seduction and Heather's gift. I absoulutely loved the first three menage books and I really like the author. I admit, the idea that, three men needing to share thier wives, because they needed to heal, was a little dumb. I loved the interaction between the 3 brothers and each others wives. It was soooooo hot, steamy and erotic, I could not wait to turn the page to see what came next. August Heat was the WORST book in the series. There was no menage sex or menage anything in this book. The reason, I purchased the first 3 books is because they were menage romances.The wives and the brothers wanted a more normal life after the birth of Marly and Cade's baby. This book was very, very, very diappointing for me.  The brothers were healed, good for them, bad for us. THE SERIES WENT OUT WITH A WHIMPER, NOT A BANG. I did not get my great ending:(","10 21, 2012",A1524Z01N7F336,"Sandra ""Sam""",1350777600
6837,B004HKIPUQ,"[0, 0]",1,"This book single handedly brought the human race below that of monkey's.David is absolutely gross, and the fact that he had no remorse during the entire course of his developing affair made him into the lowest form of sub-human scum.His wife loves him, so much so that she want's him morning, noon and night. But is that enough to keep this guy happy? No. All it took was an easy POA to make this man completely forget about his love for his wife. If he ever loved her at all.This book grossed me out.","06 24, 2014",A8MTDB180W1XE,"A. Ellison ""real LS costomer""",1403568000
2490,B003K16QEU,"[0, 0]",1,"Seemed to be a bad term paper to me, lots of reference books. Also interviews with subjects written poorly and confusing.","05 21, 2014",A3TJL6EEPTDBAH,Karenwnpa,1400630400
8240,B003TXS3JU,"[0, 0]",1,"I actually bought this book thinking it was another book I'd read years ago with a similar premise. Started off ok but characters 2 dimensional and never got to believe they were real people especially as sonJa just accepted the whole fantastical curse story on the strength of a dream. Dialogue poor, plot unsurprising, description uninspiring and just deteriorated into unoriginal and sometimes crude erotica. LOoking forward to his metamorphosis into a wolf and even this very disappointing. wouldn't recommend. IF you want to be turned on, not even good for this!","03 15, 2014",A2ZHINS4SR27KS,"Kindle Junkie ""Kindle junkie""",1394841600
11580,B004D4ZQ3K,"[2, 3]",1,"Slow paced. Obviously not edited. Character development almost non-existent. I got to 12% and started skipping ahead rapidly, hoping this story would get better, or interesting. No luck. I honestly don't know how anybody could write this poorly. Certainly, the 3-5 star reviews are incredibly suspect.","08 13, 2013",A2ZA5EQFM4WWBH,Luvscavaliers,1376352000
1096,B003AOA4IQ,"[15, 17]",1,"I wish there was a disclaimer for people who don't find rape entertaining, and I never would have purchased it had I known. I got about 28% through the book and was very engrossed in the story until the rape scene where all interest went out the window. I'm glad I bought this when it was free.","12 15, 2013",A2I1FYC058CCN0,Heyo!,1387065600
829,B004HO6ATU,"[4, 7]",1,"I can't give this more than 1 star. Romance details I had to skip over more than once.  This is not acceptable to me. I always look at reviews hoping someone will warn me if the author ruins their story with explicit romance details. Sad, as she tells a good story otherwise.","02 8, 2014",A1INRIJ0DL2JJ1,Janet,1391817600
10931,B0038KX8S0,"[3, 4]",1,"I will admit I didn't finish it. i didn't need my braincells leaking out my ears on the sheer stupidity of it all, not even plausible not even fantasy plausible not even sci-fi possible. its just...there. in your face and dumber then a box of rocks.  I tried, it was a free book thank god I'd hate to think someone actually paid for that drivel.","09 21, 2012",A177GXTRWO0S7L,"kchan ""whateva""",1348185600
11246,B003FL6X52,"[0, 0]",1,"Don't even bother!  Very disappointed.  Garbage right from the beginning.  Read one chapter, thinking it has to go SOMEWHERE - - NOT!","03 25, 2013",AKS0Y4MCINQF0,Andrea Trapper,1364169600
11426,B0036ZAI9E,"[0, 1]",1,"this book was boring ,it didnt hold my interest at all,that i didnt  finish it.I might go back 2 try and read it again,but only if Im really bored,IF theres nothing on Tv 2 watch,no place 2 go,snowstorm  that Im stuck in the house,and theres no other books 2 read","04 15, 2012",A2T5JIW0F46ERR,Amazon Customer,1334448000
755,B00309SCUS,"[6, 19]",1,"Great premise, really enjoyed the free sample.  Sadly that was the best part of the book.  There were no descriptions, no charachter development - just names of ""the crew"".  I couldn't keep straight who was doing what as they were all interchangable.  This is an extremely short story and there is no plot either.  Very disappointing.","02 11, 2010",A16U0EYXN7WALA,more books!,1265846400
7877,B002DOSBOS,"[9, 14]",1,"This really should be billed as adolescent fiction the characters are final year college students coming to terms with their true nature as gay.  The story is implausible, does anyone really sleep cuddling their best friend for four years and not realise they are gay?  Written to appeal to stereotypical gay fantasy figures two college football jocks fall in love, at the same time reinforces negative stereotyping with descriptions such as twinks.  A very short read less than a hundred pages on kindle neither worth the money time or effort.  Fundamentally unsatisfying. Sexist comment maybe but I really am not sure how a female author can write effectively about gay male themes, has to contain a strong element of voyeuristic smut.  Evangeline should leave it to the men. Cardboard cut out characters, supposedly intelligent soon to be graduates using language and having thoughts more appropriate to grade school than soon to be professional people.  One to forget!","01 31, 2011",A2PPOLH515GRQR,"Nigel ""Nigel C""",1296432000
2389,B003ELPRFK,"[0, 0]",1,"I expected a recipe book with serveral recipes on how to do porridge, and this failed to achieve what I wanted","08 14, 2013",AFIH80GNTHP5C,"Laura Del Marin ""xanadelpozzo""",1376438400
5826,B0043GX2FW,"[10, 12]",1,"As far as I can see, this was just a book about sex, not emotions or feelings. Just monkey sex that was not all that good. I won't be reading the rest of the series.","08 19, 2013",A3CAIZ5D023DAO,Melody Cox,1376870400
5943,B00309SCVW,"[2, 4]",1,no plot no character just a free excuse for a couple of badly written smut scenes. not worth the time to read it,"06 3, 2010",A2TZDW14PLBJ4T,D. K. Kortz,1275523200
2211,B003XRE850,"[9, 11]",1,"I was EXCITED to read this book. I Love these kind of historical romance novels~a little magic and mayhem make them fun.  They are few and far between and hard to find.Since there weren't any reviews I downloaded a sample, it  was lovely, so I bought the book.  It was $5.11 for my Kindle, around average for a FULL LENGTH ebook.  Imagine my suprise when I realized after 20 mins. of reading, I was 60% thru the book!  Nowhere in the book description does it say Novella or Short Story, PLUS the book ends way before 100%(93% approx)they don't give page numbers, sorry non-Kindlers.  That's the only way I can give the book length! So, I paid full book price and got the equivalent of 4-6 chapters.BUT, I think the actual story itself was decent. If it could be expanded upon and made into a full length book, it would be worthy of it's price and I would have given it 4 stars(If it had been a good rewrite of course!)I do think that Amazon should perhaps make it mandatory for authors of books/novellas/short stories under a certain word count to inform their readers of the length of the book.  It's not right to pay for and expect a full length book yet get something entirely different.  EVEN IF the story is cute.  Most of the other stories around this length run from $.99-$1.99.  I know I am complaining, ALOT!!!  It's just that I got REALLY lucky(haha) and had this happen to me several times in just a couple of days!Happy Reading,DawnBee","04 21, 2011",A1UJSOL06N2OFX,Catch that Bee..!!!!,1303344000
